Time CPU_use RAM_filled Net_bytes_sent Net_bytes_received Temperature Disk_IO_percentage
14:51:22 5.7 911659008 708753945 83113643 43.329 0.0745599800445084
14:51:23 7.1 911552512 708754193 83113891 43.329 0.0745599800445084
14:51:24 5.9 911552512 708754441 83114139 43.329 0.0745599800445084
14:51:25 6.9 910770176 708754731 83114447 43.816 0.07455977641170834
14:51:26 5.9 911028224 708754979 83114695 42.842 0.07455977641170834
14:51:27 6.9 911028224 708755227 83114943 42.355 0.07455977641170834
14:51:28 5.9 911286272 708755475 83115191 42.842 0.07455977641170834
14:51:30 7.4 911544320 708755723 83115439 43.816 0.07455964065712625
14:51:31 5.7 911900672 708755971 83115687 43.329 0.0746502703113599
14:51:32 5.7 912052224 708756219 83115935 42.842 0.0746502703113599
14:51:33 5.9 912310272 708756467 83116183 43.329 0.0746502703113599
14:51:34 5.4 912052224 708756785 83116501 42.355 0.0746502703113599
14:51:35 6.2 911794176 708757033 83116749 42.842 0.0746502703113599
14:51:36 5.9 911785984 708757281 83116997 42.842 0.07465006643400729
14:51:37 6.7 911785984 708757529 83117245 43.329 0.07465006643400729
14:51:38 6.6 911785984 708757777 83117493 42.355 0.07465006643400729
14:51:39 7.1 911785984 708758095 83117811 43.329 0.07465006643400729
14:51:40 6.9 912666624 708758343 83118059 42.842 0.07465006643400729
14:51:41 5.4 912142336 708758591 83118307 43.329 0.07464986255776829
14:51:42 6.2 911777792 708758839 83118555 41.381 0.07464986255776829
14:51:43 6.2 911626240 708759087 83118803 42.355 0.07464986255776829
14:51:44 5.7 911777792 708759335 83119051 43.816 0.07464986255776829
14:51:45 6.6 911839232 708759583 83119299 42.842 0.07464965868264291
14:51:46 7.1 912285696 708759831 83119547 42.355 0.07464945480863111
14:51:47 12.0 911769600 708760235 83119951 43.329 0.07464942932445795
14:51:48 4.2 910995456 708760483 83120199 43.329 0.07464942932445795
14:51:49 4.5 911511552 708760731 83120447 43.816 0.07464942932445795
14:51:50 3.5 911253504 708761191 83120993 42.842 0.07464942932445795
14:51:51 3.5 911503360 708761439 83121241 43.329 0.07464922545169894
14:51:52 4.1 911867904 708761687 83121489 43.329 0.07464922545169894
14:51:53 6.9 912019456 708761935 83121737 43.329 0.07464922545169894
14:51:54 7.9 911822848 708762183 83121985 43.816 0.07464922545169894
14:51:55 6.4 911761408 708762473 83122293 43.329 0.07464922545169894
14:51:56 7.1 912269312 708762721 83122541 43.329 0.0746490215800535
14:51:57 7.1 911314944 708762969 83122789 42.355 0.0746490215800535
14:51:58 5.9 910708736 708763217 83123037 43.816 0.0746490215800535
14:51:59 6.2 910278656 708763465 83123285 42.842 0.07474005697222431
14:52:00 5.9 910135296 708763713 83123533 43.816 0.07474005697222431
14:52:01 6.4 909574144 708764437 83123899 42.842 0.07473992089266412
14:52:02 7.1 909611008 708764685 83124147 42.842 0.07483054738613688
14:52:03 5.9 910127104 708765023 83124485 43.816 0.07483054738613688
14:52:04 5.4 911310848 708765271 83124733 43.329 0.07483054738613688
14:52:05 6.9 911826944 708765589 83125051 43.329 0.07483054738613688
14:52:06 5.9 912191488 708765837 83125299 42.842 0.07483054738613688
14:52:07 6.6 912183296 708766085 83125547 43.329 0.07483027489998449
14:52:08 5.4 912076800 708766333 83125795 41.868 0.07483027489998449
14:52:09 7.6 912592896 708766651 83126043 43.816 0.07483027489998449
14:52:10 5.9 912592896 708766899 83126361 42.842 0.07483027489998449
14:52:11 6.4 912564224 708767147 83127001 43.329 0.07483027489998449
14:52:12 24.6 912756736 708772388 83328677 43.329 0.07483007053667248
14:52:13 30.6 913014784 708772636 83328925 44.79 0.07483007053667248
14:52:14 36.6 912248832 708806590 83531717 45.764 0.07492110468574385
14:52:15 30.8 912007168 708806838 83531965 45.764 0.07492110468574385
14:52:16 29.8 912248832 708807086 83532213 45.277 0.07492110468574385
14:52:17 31.1 913494016 708807334 83532461 45.764 0.07492090007493228
14:52:18 41.8 915816448 708807582 83532709 46.738 0.07492090007493228
14:52:19 59.2 916590592 708807830 83532957 47.225 0.07492090007493228
14:52:20 57.1 917594112 708808192 83533373 46.251 0.07492090007493228
14:52:21 54.5 918110208 708808440 83533621 45.277 0.07492090007493228
14:52:22 54.9 919142400 708808688 83533869 47.225 0.07492090007493228
14:52:23 41.4 918536192 708821748 83534515 47.225 0.0889274109528397
14:52:24 55.0 919052288 708821996 83534763 47.712 0.0889274109528397
14:52:25 55.9 919568384 708822286 83535071 48.199 0.0889274109528397
14:52:26 56.2 919826432 708822534 83535319 46.738 0.08892708718392968
14:52:27 55.7 920428544 708823030 83535815 48.686 0.08892708718392968
